Hour,Dual-Carriageway,One-Way,Roundabout,Single-Carriageway,Slip-Road,Unknown,Total,
0,306,47,103,1432,15,3,1906,
1,209,38,81,1051,11,4,1394,
2,174,47,59,814,14,5,1113,
3,164,47,53,658,8,6,936,
4,165,23,44,525,12,5,774,
5,252,19,111,818,14,1,1215,
6,540,35,272,1743,25,5,2620,
7,1054,60,569,4297,74,9,6063,
8,1400,127,641,7891,96,47,10202,
9,1009,132,449,5457,61,26,7134,
10,924,147,512,4780,77,30,6470,
11,955,178,498,5550,70,30,7281,
12,1130,194,539,6315,84,36,8298,
13,1123,201,542,6279,83,38,8266,
14,1152,187,546,6354,86,34,8359,
15,1252,229,652,8286,96,42,10557,
16,1603,220,791,8664,117,48,11443,
17,1823,219,836,9438,148,38,12502,
18,1428,160,647,7514,111,23,9883,
19,956,121,517,5333,72,18,7017,
20,710,112,339,4063,49,11,5284,
21,554,74,256,2977,42,16,3919,
22,476,71,218,2632,33,9,3439,
23,392,55,130,1967,25,8,2577,
