Hour,20,30,40,50,60,70,Total,
0,30,1247,155,71,266,137,1906,
1,28,906,94,47,200,119,1394,
2,28,692,80,39,181,93,1113,
3,22,586,81,33,130,84,936,
4,7,449,59,33,115,111,774,
5,9,629,119,83,215,160,1215,
6,16,1379,233,130,509,353,2620,
7,68,3399,569,362,1056,609,6063,
8,195,6533,861,392,1484,737,10202,
9,146,4579,573,279,1096,461,7134,
10,106,4104,538,234,1036,452,6470,
11,149,4657,600,280,1125,470,7281,
12,143,5397,698,293,1212,555,8298,
13,175,5367,694,331,1202,497,8266,
14,187,5382,691,300,1251,548,8359,
15,259,7303,789,327,1322,557,10557,
16,231,7501,985,425,1535,766,11443,
17,261,8073,1102,488,1703,875,12502,
18,187,6526,796,381,1285,708,9883,
19,135,4754,527,247,918,436,7017,
20,102,3575,406,175,693,333,5284,
21,78,2545,340,150,564,242,3919,
22,54,2236,282,129,517,221,3439,
23,48,1656,218,111,371,173,2577,
