Month,1,2,3,4,5,6,7,Total
1,850,1497,1746,1715,1784,1553,1081,10226
2,1035,1355,1549,1534,1455,1563,1230,9721
3,1089,1454,1452,1323,1500,1912,1554,10284
4,1025,1490,1821,1349,1321,1571,1385,9962
5,1206,1327,1616,1819,2000,2118,1363,11449
6,1554,1481,1663,1626,1727,1968,1824,11843
7,1364,2097,2149,2093,1811,1959,1539,13012
8,1237,1485,1479,1544,2055,2159,1815,11774
9,1508,2088,1636,1705,1770,1905,1400,12012
10,1288,1776,2251,2193,2289,2006,1519,13322
11,1227,1861,1924,1934,1804,2494,1924,13168
12,1471,1920,1971,1626,1670,1836,1393,11887
