Hour,1,2,3,4,5,6,7,Total
0,532,189,173,186,173,239,414,1906
1,467,113,123,78,113,148,352,1394
2,352,84,76,63,80,123,335,1113
3,307,74,81,62,69,99,244,936
4,215,69,86,71,74,81,178,774
5,188,176,157,149,164,181,200,1215
6,185,430,446,452,422,433,252,2620
7,269,1053,1182,1122,1127,960,350,6063
8,347,1766,2022,1883,1955,1708,521,10202
9,588,1114,1233,1175,1172,1129,723,7134
10,776,915,920,867,943,1026,1023,6470
11,926,961,1062,958,1032,1096,1246,7281
12,1077,1074,1143,1083,1139,1363,1419,8298
13,1126,1134,1132,1090,1142,1361,1281,8266
14,1009,1160,1188,1150,1181,1391,1280,8359
15,1048,1561,1625,1555,1658,1894,1216,10557
16,1042,1808,1847,1794,1797,1987,1168,11443
17,980,1884,2154,2097,2049,2092,1246,12502
18,923,1476,1576,1517,1590,1662,1139,9883
19,658,959,1072,1031,1094,1228,975,7017
20,649,696,690,781,789,917,762,5284
21,465,493,538,536,590,744,553,3919
22,433,381,455,467,495,602,606,3439
23,292,260,274,292,336,580,543,2577
