Hour,Wind,Fine,Fog,Other,Rain-Wind,Rain,Snow-Wind,Snow,Unknown,Total
0,17,1475,15,34,42,257,7,28,31,1906
1,18,1053,6,35,31,191,2,26,32,1394
2,15,835,6,19,25,171,4,21,17,1113
3,12,697,5,17,19,131,7,19,29,936
4,7,591,15,27,15,74,3,13,29,774
5,13,863,24,48,29,168,8,31,31,1215
6,30,1911,57,94,51,343,21,59,54,2620
7,60,4801,113,173,65,649,32,87,83,6063
8,122,8267,105,237,107,1007,32,144,181,10202
9,98,5862,29,155,67,646,41,117,119,7134
10,101,5407,22,99,78,544,20,94,105,6470
11,132,6074,12,87,91,623,21,112,129,7281
12,129,7013,13,97,88,694,26,99,139,8298
13,144,6957,14,94,103,691,22,92,149,8266
14,133,7058,15,112,106,706,27,80,122,8359
15,137,8812,9,137,109,1007,32,118,196,10557
16,144,9422,27,147,166,1179,31,111,216,11443
17,173,10055,33,187,228,1453,48,107,218,12502
18,134,7857,26,166,200,1178,33,93,196,9883
19,79,5537,18,130,173,836,35,78,131,7017
20,59,4093,10,103,122,692,21,76,108,5284
21,54,3042,12,66,96,513,19,49,68,3919
22,44,2667,17,82,86,434,17,41,51,3439
23,35,1928,16,66,59,375,13,42,43,2577
